model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,bottom_anomaly_score,top_anomaly_score,rank_low_to_high,low_auroc
anomalyclip,mvtec,screw,thread_top,82.10698913711826,90.03181336161188,41,23,0.9863298506271548,0.9936769371447356,0.007347086517580759,0.9867886304855348,0.9972906708717346,25,False
anomalyclip,mvtec,transistor,misplaced,93.875,90.49999999999999,60,10,0.9025453428427378,0.9503067255020141,0.04776138265927632,0.9053753018379213,0.9824405312538148,26,False
anomalyclip,mvtec,capsule,scratch,89.50937375349022,91.68241965973534,23,23,0.9496215296828229,0.9703784222188203,0.02075689253599744,0.9488317370414734,0.9888929724693298,27,False
anomalyclip,mvtec,hazelnut,print,97.17857142857143,92.05882352941177,40,17,0.9771937370300293,0.9917946948724634,0.014600957842434092,0.981581211090088,0.9984934329986572,28,False
anomalyclip,mvtec,grid,thread,97.82790309106099,92.20779220779221,21,11,0.3745485998335339,0.6957630460912531,0.32121444625771917,0.3214325904846191,0.9593446254730223,29,False
anomalyclip,mvtec,metal_nut,scratch,92.37536656891496,92.88537549407114,22,23,0.9806581789797003,0.9906427808429884,0.00998460186328809,0.9731857180595398,0.9966166615486144,30,False
anomalyclip,mvtec,transistor,damaged_case,93.875,94.5,60,10,0.9025453428427378,0.9600297570228576,0.05748441418011985,0.9202572703361512,0.9875054359436036,31,False
anomalyclip,mvtec,transistor,bent_lead,93.875,94.83333333333333,60,10,0.9025453428427378,0.9542027950286865,0.05165745218594875,0.9193552136421204,0.9784010648727416,32,False
anomalyclip,mvtec,metal_nut,color,92.37536656891496,95.24793388429752,22,22,0.9806581789797003,0.9918834594163027,0.011225280436602425,0.9761427640914916,0.9966732263565063,33,False
anomalyclip,mvtec,zipper,squeezed_teeth,98.39810924369748,95.3125,32,16,0.6012046877294779,0.7078130170702934,0.10660832934081554,0.6430369019508362,0.8210757374763489,34,False
anomalyclip,mvtec,bottle,broken_large,88.65079365079366,95.5,20,20,0.9924770534038544,0.997770032286644,0.005292978882789567,0.9914700388908386,0.9996163845062256,35,False
anomalyclip,mvtec,transistor,cut_lead,93.875,95.66666666666667,60,10,0.9025453428427378,0.9570918023586273,0.054546459515889545,0.9303345680236816,0.9737032055854796,36,False
anomalyclip,mvtec,capsule,crack,89.50937375349022,95.84120982986768,23,23,0.9496215296828229,0.9740236012831979,0.024402071600374997,0.9592434763908386,0.9970511198043824,37,False
anomalyclip,mvtec,capsule,poke,89.50937375349022,95.8592132505176,23,21,0.9496215296828229,0.9802127253441584,0.030591195661335502,0.9505212903022766,0.9979944229125975,38,False
anomalyclip,mvtec,hazelnut,cut,97.17857142857143,96.3235294117647,40,17,0.9771937370300293,0.9934424372280345,0.016248700198005173,0.9838375449180604,0.9979662895202636,39,False
anomalyclip,mvtec,grid,bent,97.82790309106099,96.82539682539682,21,12,0.3745485998335339,0.6265731304883957,0.2520245306548618,0.3984529376029968,0.7890981435775757,40,False
anomalyclip,mvtec,zipper,split_teeth,98.39810924369748,97.91666666666666,32,18,0.6012046877294779,0.730418367518319,0.12921367978884113,0.6684380769729614,0.8412395119667053,41,False
anomalyclip,mvtec,wood,scratch,96.9298245614035,97.99498746867168,19,21,0.9337222544770492,0.9967280115400042,0.06300575706295508,0.9706882238388062,0.9997183680534364,42,False
anomalyclip,mvtec,zipper,fabric_interior,98.39810924369748,98.2421875,32,16,0.6012046877294779,0.7943953685462475,0.1931906808167696,0.6459794640541077,0.8806309700012207,43,False
