model,dataset,class,defect_type,auroc_pct,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
anomalyclip,mvtec,pill,color,88.9231,0.9857,0.9541,0.0316,0.9748,0.0109,0.9654,25,False
anomalyclip,mvtec,pill,combined,89.819,0.9864,0.9541,0.0323,0.9748,0.0116,0.9768,17,False
adaptclip,mvtec,cable,poke_insulation,93.4483,0.8742,0.8404,0.0338,0.8255,0.0487,0.8239,10,False
winclip,mvtec,pill,contamination,87.7289,0.3054,0.271,0.0344,0.2335,0.0719,0.2281,21,False
winclip,mvtec,pill,scratch,87.5,0.3061,0.271,0.0352,0.2335,0.0726,0.1824,24,False
anomalyclip,mvtec,pill,pill_type,97.4359,0.9916,0.9541,0.0374,0.9748,0.0167,0.9844,9,False
adaptclip,mvtec,screw,manipulated_front,89.6341,0.8801,0.8404,0.0397,0.8119,0.0683,0.7986,24,False
adaptclip,mvtec,screw,thread_top,92.2587,0.89,0.8404,0.0495,0.8119,0.0781,0.8145,23,False
adaptclip,mvtec,cable,cut_outer_insulation,97.931,0.8925,0.8404,0.0521,0.8255,0.067,0.8543,10,False
winclip,mvtec,pill,faulty_imprint,88.9676,0.3254,0.271,0.0545,0.2335,0.0919,0.2338,19,False
winclip,mvtec,screw,thread_top,84.5175,0.3272,0.271,0.0562,0.2083,0.1189,0.1733,23,False
adaptclip,mvtec,transistor,damaged_case,99.5,0.9038,0.8404,0.0634,0.7394,0.1644,0.8476,10,False
winclip,mvtec,transistor,bent_lead,88.25,0.3585,0.271,0.0875,0.2184,0.1401,0.1968,10,False
adaptclip,visa,macaroni2,Anomaly,71.5,0.9551,0.8404,0.1147,0.9107,0.0444,0.8508,100,False
winclip,mvtec,pill,combined,99.6606,0.418,0.271,0.1471,0.2335,0.1845,0.3074,17,False
winclip,mvtec,transistor,damaged_case,95.0833,0.4552,0.271,0.1842,0.2184,0.2368,0.2751,10,False
winclip,visa,cashew,Anomaly,90.95,0.4559,0.271,0.1849,0.2988,0.1571,0.2018,100,False
winclip,mvtec,transistor,misplaced,95.3333,0.4866,0.271,0.2157,0.2184,0.2682,0.272,10,False
