model,dataset,class,defect_type,auroc,auroc_pct,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,rank_low_to_high,weak_defect_type
anomalyclip,mvtec,cable,bent_wire,0.8103448275862069,81.03448275862068,58,13,0.8895057799487278,0.9225798707741958,0.03307409082546797,0.028611889199466403,0.025388856457269317,0.03539079427719116,0.07897353172302235,0.8873533753843422,0.9390614628791808,0.874430239200592,3,False
anomalyclip,mvtec,cable,cut_inner_insulation,0.8780788177339901,87.807881773399,58,14,0.8895057799487278,0.9305044540337154,0.040998674084987585,0.028611889199466403,0.02025280017711444,0.02428378164768208,0.06844508647918701,0.7078456104706341,0.9390614628791808,0.8918564915657043,4,False
anomalyclip,mvtec,cable,cut_outer_insulation,0.943103448275862,94.3103448275862,58,10,0.8895057799487278,0.9397676348686218,0.05026185491989399,0.028611889199466403,0.016972574913768405,0.021947577595710754,0.0556185245513916,0.5932000783116739,0.9390614628791808,0.9089731574058532,5,False
anomalyclip,mvtec,cable,combined,0.945141065830721,94.5141065830721,58,11,0.8895057799487278,0.9541337435895746,0.06462796364084678,0.028611889199466403,0.025807697719013093,0.02671054005622875,0.08425462245941151,0.9019920893407624,0.9390614628791808,0.8966431021690369,6,False
anomalyclip,mvtec,cable,cable_swap,0.9640804597701149,96.4080459770115,58,12,0.8895057799487278,0.9449132283528646,0.055407448404136805,0.028611889199466403,0.016787709822732803,0.024633467197418102,0.05751299858093262,0.5867389498714362,0.9390614628791808,0.9130229353904724,7,False
anomalyclip,mvtec,cable,missing_cable,0.9813218390804597,98.13218390804596,58,12,0.8895057799487278,0.9556061575810114,0.0661003776322836,0.028611889199466403,0.01792518901167991,0.02059917151927937,0.05780869722366355,0.6264944228853719,0.9390614628791808,0.9245970249176024,8,False
anomalyclip,mvtec,pill,crack,0.6523668639053255,65.23668639053255,26,26,0.9748275371698233,0.9781837669702677,0.003356229800444366,0.006578272460612783,0.008039960904875023,0.01227809488773346,0.030404388904571644,1.2221994380764947,0.9930725693702698,0.9594746232032776,1,True
anomalyclip,mvtec,pill,faulty_imprint,0.8097165991902833,80.97165991902833,26,19,0.9748275371698233,0.9828880648863944,0.008060527716571064,0.006578272460612783,0.006806492573679043,0.008211255073547363,0.026553988456726185,1.0346930162033758,0.9930725693702698,0.9664534330368042,2,False
anomalyclip,mvtec,pill,scratch,0.8253205128205128,82.53205128205127,26,24,0.9748275371698233,0.9824767485260963,0.007649211356273056,0.006578272460612783,0.005627486688549701,0.005388796329498291,0.02125900983810436,0.8554657354562487,0.9930725693702698,0.97202330827713,3,False
anomalyclip,mvtec,pill,contamination,0.8443223443223443,84.43223443223444,26,21,0.9748275371698233,0.9821062088012695,0.007278671631446243,0.006578272460612783,0.004305968375832306,0.005774378776550404,0.016421258449554443,0.6545743432814873,0.9930725693702698,0.975018322467804,4,False
anomalyclip,mvtec,pill,color,0.8892307692307693,88.92307692307693,26,25,0.9748275371698233,0.9856967329978943,0.010869195828070999,0.006578272460612783,0.006380292176231003,0.0034574270248411976,0.028613686561584473,0.9699039093368083,0.9930725693702698,0.9653686881065368,5,False
anomalyclip,mvtec,pill,combined,0.8981900452488688,89.81900452488688,26,17,0.9748275371698233,0.9863948261036593,0.011567288933835962,0.006578272460612783,0.006402747478005746,0.010176658630370983,0.02138376235961903,0.9733174653895856,0.9930725693702698,0.9767827391624452,6,False
anomalyclip,mvtec,pill,pill_type,0.9743589743589745,97.43589743589745,26,9,0.9748275371698233,0.9915571941269768,0.01672965695715356,0.006578272460612783,0.0033911107306884543,0.0036133527755738415,0.010999917984008789,0.5155017143167347,0.9930725693702698,0.9843517541885376,7,False
anomalyclip,mvtec,screw,manipulated_front,0.7693089430894309,76.93089430894308,41,24,0.9636865534433504,0.9786048953731855,0.0149183419298351,0.01744391269405183,0.01119521838926109,0.013486176729202382,0.04989922046661377,0.6417836746613923,0.9872308373451232,0.9429073333740234,1,True
anomalyclip,mvtec,screw,scratch_head,0.8272357723577235,82.72357723577235,41,24,0.9636865534433504,0.9804266194502512,0.01674006600690081,0.01744391269405183,0.007430900653603762,0.007038578391075134,0.02992844581604015,0.42598818189095916,0.9872308373451232,0.964002251625061,2,False
anomalyclip,mvtec,screw,scratch_neck,0.84,84.0,41,25,0.9636865534433504,0.9816538095474243,0.017967256104073903,0.01744391269405183,0.011740046022833704,0.009462475776672363,0.04866015911102306,0.6730167840634127,0.9872308373451232,0.9447375535964966,3,False
